,Link,Title,Rating,Price
0,https://m.media-amazon.com/images/I/71t+pN7w6HL._AC_UL320_.jpg,"TECLAST Tablet de 10 pulgadas Android 12 Tablets, P25T 4GB RAM 64GB ROM 1TB Ampliar tableta Android, Tableta con CPU de 4 núcleos 1.8Ghz 2.4G+5G WiFi, pantalla IPS de 10.1 pulgadas, cámaras duales, Bluetooth 5.0, tableta para niños",4.5 de 5 estrellas,84.0
1,https://m.media-amazon.com/images/I/81TtgFNJrGL._AC_UL320_.jpg,"Tablet Android, tablet Android 12 de 10.1 pulgadas, 6 GB de RAM 64 GB de ROM, 1 TB de expansión, tableta Android con batería de 8000 mAh, cámara dual, WiFi 5G, Bluetooth, pantalla táctil FHD IPS, GPS, Google GMS certificado plateado",5.0 de 5 estrellas,89.0
2,https://m.media-amazon.com/images/I/81huX80XrcL._AC_UL320_.jpg,"Tablet Android de 10 pulgadas, tablet Android 12, 6 GB RAM 64 GB ROM, 512 GB ampliar la tableta Android con doble cámara, 5G y 2.4G WiFi, Bluetooth, 8000 mAh, pantalla táctil HD, certificado Google GMS",3.7 de 5 estrellas,82.0
3,https://m.media-amazon.com/images/I/71s1mlbLNaL._AC_UL320_.jpg,"TECLAST Android 12 Tablet 10 inch Tablets, M40Plus 8GB+128GB Tablet, 1TB Expand 8 Core Android Tablet, 2.4G/5G WiFi, 1920*1200 IPS, 7000mAh Fast Charge, Bluetooth 5.0, GPS, Dual Camera, Parent control",4.4 de 5 estrellas,143.0
4,https://m.media-amazon.com/images/I/71iq-TvOl-L._AC_UL320_.jpg,"KYASTER Tablet para niños, 7 pulgadas, 5G, WiFi 6, Android 12, tablet para niños, pantalla IPS Full HD 1920 x 1200, 2 GB RAM 32 GB ROM, aplicaciones de educación de juegos de control parental, funda EVA a prueba de niños con lápiz capacitivo",3.6 de 5 estrellas,59.0
5,https://m.media-amazon.com/images/I/71rlRAbO99L._AC_UL320_.jpg,"TJD Tablet Android de 7.9 pulgadas, tabletas Android 11, pantalla IPS de 2048 x 1536, 2 GB de RAM de 32 GB de ROM (512 GB expandible), procesador de cuatro núcleos, cámara de 8 MP/certificado Google/altavoces duales/Bluetooth/WiFi de 2.4 GHz, tipo C",3.8 de 5 estrellas,69.0
6,https://m.media-amazon.com/images/I/616TgsaFS4L._AC_UL320_.jpg,"Tablet Android, tablet de 10 pulgadas, tablet Android 12.0, 2 GB de RAM de 64 GB de ROM, 512 GB de expansión, tableta Android con doble cámara, WiFi, Bluetooth, pantalla táctil HD, certificado Google GMS",3.5 de 5 estrellas,69.0
7,https://m.media-amazon.com/images/I/61tvxf11joL._AC_UL320_.jpg,"PRITOM Tablet M20 de 10 pulgadas con funda, Android 12 tabletas, 3G RAM, 64 GB ROM, 512 GB expandible, procesador Quad-Core 1.6GHz, 6000mAh, pantalla táctil HD IPS, cámara dual, WiFi 6, Bluetooth, FM, USB C",3.9 de 5 estrellas,79.0
8,https://m.media-amazon.com/images/I/61mz-if+e5L._AC_UL320_.jpg,"VOLENTEX Tableta Android 12 de 10 pulgadas, tabletas con 3 GB RAM 64 GB ROM 512 GB expandir, procesador Quad Core, WiFi 6, pantalla IPS HD de 10.1 pulgadas, batería de 6000 mAh, cámara de 2 MP+8 MP, tipo C",3.6 de 5 estrellas,69.0
9,https://m.media-amazon.com/images/I/71t+pN7w6HL._AC_UL320_.jpg,"TECLAST Tablet de 10 pulgadas Android 12 Tablets, P25T 4GB RAM 64GB ROM 1TB Ampliar tableta Android, Tableta con CPU de 4 núcleos 1.8Ghz 2.4G+5G WiFi, pantalla IPS de 10.1 pulgadas, cámaras duales, Bluetooth 5.0, tableta para niños",4.5 de 5 estrellas,84.0
10,https://m.media-amazon.com/images/I/81TtgFNJrGL._AC_UL320_.jpg,"Tablet Android, tablet Android 12 de 10.1 pulgadas, 6 GB de RAM 64 GB de ROM, 1 TB de expansión, tableta Android con batería de 8000 mAh, cámara dual, WiFi 5G, Bluetooth, pantalla táctil FHD IPS, GPS, Google GMS certificado plateado",5.0 de 5 estrellas,89.0
11,https://m.media-amazon.com/images/I/71s1mlbLNaL._AC_UL320_.jpg,"TECLAST Android 12 Tablet 10 inch Tablets, M40Plus 8GB+128GB Tablet, 1TB Expand 8 Core Android Tablet, 2.4G/5G WiFi, 1920*1200 IPS, 7000mAh Fast Charge, Bluetooth 5.0, GPS, Dual Camera, Parent control",4.4 de 5 estrellas,143.0
12,https://m.media-amazon.com/images/I/61DNToXKaEL._AC_UL320_.jpg,"Tablet 10.1 pulgadas Android 11 Tablet última actualización Octa-Core procesador con 64GB ROM+4GB RAM almacenamiento, doble cámara de 13MP+5MP, WiFi, Bluetooth, GPS, 512GB ampliación soporte, IPS pantalla Full HD WiFi Tablet",4.1 de 5 estrellas,149.0
13,https://m.media-amazon.com/images/I/71d70arBn8L._AC_UL320_.jpg,"Tabletas Android 11 de 10 pulgadas, tablet 2 en 1 con 4+64/128 GB de almacenamiento Octa-Core, ranuras para tarjetas SIM dobles con teclado, cámara de 13 MP, batería de 6000 mAh, GPS, Bluetooth, WiFi, funda incluida",4.3 de 5 estrellas,169.0
14,https://m.media-amazon.com/images/I/81nin1KEeAL._AC_UL320_.jpg,"Blackview Tableta Android 12, tabletas de 10 pulgadas Tab 7 WiFi 5GB RAM 64GB ROM con 1TB Expand, batería 6580mAh Tablet PC IPS HD+, pantalla Google GMS certificada 5MP Wi-Fi Tablet para niños, azul",4.3 de 5 estrellas,89.0
15,https://m.media-amazon.com/images/I/71iq-TvOl-L._AC_UL320_.jpg,"KYASTER Tablet para niños, 7 pulgadas, 5G, WiFi 6, Android 12, tablet para niños, pantalla IPS Full HD 1920 x 1200, 2 GB RAM 32 GB ROM, aplicaciones de educación de juegos de control parental, funda EVA a prueba de niños con lápiz capacitivo",3.6 de 5 estrellas,59.0
16,https://m.media-amazon.com/images/I/717HREfG02L._AC_UL320_.jpg,"SEBBE Tableta Android 11 de 10.36 pulgadas con procesador Octa-Core, 4 GB RAM/64 GB ROM, batería de 8000 mAh, altavoces cuádruple, WiFi 5G+2.4G, pantalla dividida, GPS, Bluetooth, certificado Google, color gris",4.1 de 5 estrellas,120.0
